a	a 1
rềnh	ʐ e ɲ 2
rểnh	ʐ e ɲ 4
reo	ʐ eo 1
réo	ʐ eo 5
rèo	ʐ eo 2
rẻo	ʐ eo 4
rẹo	ʐ eo 6
rếp	ʐ e p 5
rệp	ʐ e p 6
rét	ʐ ɛ t 5
rết	ʐ e t 5
rệt	ʐ e t 6
rẹt	ʐ ɛ t 6
rêu	ʐ ɛu 1
rều	ʐ ɛu 2
rệu	ʐ ɛu 6
ri	ʐ i 1
rí	ʐ i 5
rì	ʐ i 2
rĩ	ʐ i 3
rỉ	ʐ i 4
rị	ʐ i 6
ria	ʐ iə 1
rìa	ʐ iə 2
rỉa	ʐ iə 4
rịa	ʐ iə 6
rích	ʐ i tʃ 5
rịch	ʐ i tʃ 6
riềm	ʐ iə m 2
riễn	ʐ iə n 3
riêng	ʐ iə ŋ 1
riềng	ʐ iə ŋ 2
riếp	ʐ iə p 5
riết	ʐ iə t 5
riệt	ʐ iə t 6
riêu	ʐ iə w 1
riếu	ʐ iə w 5
riều	ʐ iə w 2
riễu	ʐ iə w 3
riệu	ʐ iə w 6
rim	ʐ i m 1
rím	ʐ i m 5
rin	ʐ i n 1
rĩn	ʐ i n 3
rỉn	ʐ i n 4
rịn	ʐ i n 6
rinh	ʐ i ɲ 1
rình	ʐ i ɲ 2
rỉnh	ʐ i ɲ 4
ríp	ʐ i p 5
rịp	ʐ i p 6
rít	ʐ i t 5
rịt	ʐ i t 6
riu	ʐ i w 1
ríu	ʐ i w 5
rìu	ʐ i w 2
ro	ʐ ɔ 1
ró	ʐ ɔ 5
rò	ʐ ɔ 2
rô	ʐ o 1
rồ	ʐ o 2
rỗ	ʐ o 3
rổ	ʐ o 4
rộ	ʐ o 6
rõ	ʐ ɔ 3
rỏ	ʐ ɔ 4
rọ	ʐ ɔ 6
rơ	ʐ ɤ 1
rớ	ʐ ɤ 5
rờ	ʐ ɤ 2
rỡ	ʐ ɤ 3
rở	ʐ ɤ 4
rợ	ʐ ɤ 6
roa	ʐw ʷa 1
roai	ʐw a j 1
roạt	ʐw ʷa t 6
róc	ʐ ɔ k͡p 5
rốc	ʐ o k͡p 5
rộc	ʐ o k͡p 6
rọc	ʐ ɔ k͡p 6
roi	ʐ ɔ j 1
rói	ʐ ɔ j 5
ròi	ʐ ɔ j 2
rôi	ʐ o j 1
rối	ʐ o j 5
rồi	ʐ o j 2
rỗi	ʐ o j 3
rổi	ʐ o j 4
rội	ʐ o j 6
rõi	ʐ ɔ j 3
rỏi	ʐ ɔ j 4
rọi	ʐ ɔ j 6
rơi	ʐ ɤ j 1
rời	ʐ ɤ j 2
rợi	ʐ ɤ j 6
rom	ʐ ɔ m 1
róm	ʐ ɔ m 5
ròm	ʐ ɔ m 2
rôm	ʐ o m 1
rồm	ʐ o m 2
rộm	ʐ o m 6
rỏm	ʐ ɔ m 4
rọm	ʐ ɔ m 6
rơm	ʐ ɤ m 1
rớm	ʐ ɤ m 5
rờm	ʐ ɤ m 2
rởm	ʐ ɤ m 4
rợm	ʐ ɤ m 6
ron	ʐ ɔ n 1
rón	ʐ ɔ n 5
ròn	ʐ ɔ n 2
rôn	ʐ o n 1
rốn	ʐ o n 5
rồn	ʐ o n 2
rổn	ʐ o n 4
rộn	ʐ o n 6
rỏn	ʐ ɔ n 4
rọn	ʐ ɔ n 6
rơn	ʐ ɤ n 1
rờn	ʐ ɤ n 2
rỡn	ʐ ɤ n 3
rởn	ʐ ɤ n 4
rợn	ʐ ɤ n 6
rong	ʐ ɔ ŋ͡m 1
róng	ʐ ɔ ŋ͡m 5
ròng	ʐ ɔ ŋ͡m 2
rông	ʐ o ŋ͡m 1
rống	ʐ o ŋ͡m 5
rồng	ʐ o ŋ͡m 2
rỗng	ʐ o ŋ͡m 3
rộng	ʐ o ŋ͡m 6
rỏng	ʐ ɔ ŋ͡m 4
róp	ʐ ɔ p 5
rốp	ʐ o p 5
rộp	ʐ o p 6
rọp	ʐ ɔ p 6
rớp	ʐ ɤ p 5
rợp	ʐ ɤ p 6
rót	ʐ ɔ t 5
rốt	ʐ o t 5
rột	ʐ o t 6
rọt	ʐ ɔ t 6
rớt	ʐ ɤ t 5
rợt	ʐ ɤ t 6
ru	ʐ u 1
rú	ʐ u 5
rù	ʐ u 2
rũ	ʐ u 3
rủ	ʐ u 4
rư	ʐ ɯ 1
rừ	ʐ ɯ 2
rua	ʐ uə 1
rùa	ʐ uə 2
rũa	ʐ uə 3
rủa	ʐ uə 4
rụa	ʐ uə 6
rưa	ʐ ɯə 1
rứa	ʐ ɯə 5
rữa	ʐ ɯə 3
rửa	ʐ ɯə 4
rựa	ʐ ɯə 6
rúc	ʐ u k͡p 5
rục	ʐ u k͡p 6
rức	ʐ ɯ k 5
rực	ʐ ɯ k 6
ruê	ʐw ʷe 1
rui	ʐ u j 1
rúi	ʐ u j 5
rủi	ʐ u j 4
rụi	ʐ u j 6
rum	ʐ u m 1
rúm	ʐ u m 5
rùm	ʐ u m 2
rụm	ʐ u m 6
run	ʐ u n 1
rún	ʐ u n 5
rùn	ʐ u n 2
rủn	ʐ u n 4
rung	ʐ u ŋ͡m 1
rúng	ʐ u ŋ͡m 5
rùng	ʐ u ŋ͡m 2
rủng	ʐ u ŋ͡m 4
rụng	ʐ u ŋ͡m 6
rưng	ʐ ɯ ŋ 1
rừng	ʐ ɯ ŋ 2
rững	ʐ ɯ ŋ 3
rửng	ʐ ɯ ŋ 4
rựng	ʐ ɯ ŋ 6
ruốc	ʐ uə k 5
rước	ʐ ɯə k 5
ruối	ʐ uə j 5
ruồi	ʐ uə j 2
ruỗi	ʐ uə j 3
ruổi	ʐ uə j 4
ruội	ʐ uə j 6
rươi	ʐ ɯə j 1
rưới	ʐ ɯə j 5
rười	ʐ ɯə j 2
rưỡi	ʐ ɯə j 3
rưởi	ʐ ɯə j 4
rượi	ʐ ɯə j 6
ruộm	ʐ uə m 6
rươm	ʐ ɯə m 1
rướm	ʐ ɯə m 5
rườm	ʐ ɯə m 2
ruôn	ʐ uə n 1
rướn	ʐ ɯə n 5
rườn	ʐ ɯə n 2
rượn	ʐ ɯə n 6
ruồng	ʐ uə ŋ 2
ruỗng	ʐ uə ŋ 3
ruộng	ʐ uə ŋ 6
rương	ʐ ɯə ŋ 1
rường	ʐ ɯə ŋ 2
rượng	ʐ ɯə ŋ 6
ruốt	ʐ uə t 5
ruột	ʐ uə t 6
rượt	ʐ ɯə t 6
rượu	ʐ ɯə w 6
rúp	ʐ u p 5
rụp	ʐ u p 6
rút	ʐ u t 5
rụt	ʐ u t 6
rứt	ʐ ɯ t 5
ruy	ʐw ʷi 1
ry	ʐ i 1
rỳ	ʐ i 2
sa	ʂ a 1
sá	ʂ a 5
sà	ʂ a 2
sã	ʂ a 3
sả	ʂ a 4
sạ	ʂ a 6
sác	ʂ a k 5
sắc	ʂ ă k 5
sặc	ʂ ă k 6
sạc	ʂ a k 6
sách	ʂ a tʃ 5
sạch	ʂ a tʃ 6
sai	ʂ a j 1
sái	ʂ a j 5
sài	ʂ a j 2
sãi	ʂ a j 3
sải	ʂ a j 4
sam	ʂ a m 1
sám	ʂ a m 5
sàm	ʂ a m 2
săm	ʂ ă m 1
sắm	ʂ ă m 5
sặm	ʂ ă m 6
sâm	ʂ ɤ̆ m 1
sấm	ʂ ɤ̆ m 5
sầm	ʂ ɤ̆ m 2
sẫm	ʂ ɤ̆ m 3
sẩm	ʂ ɤ̆ m 4
sậm	ʂ ɤ̆ m 6
sạm	ʂ a m 6
san	ʂ a n 1
sán	ʂ a n 5
sàn	ʂ a n 2
săn	ʂ ă n 1
sắn	ʂ ă n 5
sẵn	ʂ ă n 3
sẳn	ʂ ă n 4
sân	ʂ ɤ̆ n 1
sấn	ʂ ɤ̆ n 5
sần	ʂ ɤ̆ n 2
sẩn	ʂ ɤ̆ n 4
sản	ʂ a n 4
sạn	ʂ a n 6
sang	ʂ a ŋ 1
sáng	ʂ a ŋ 5
sàng	ʂ a ŋ 2
săng	ʂ ă ŋ 1
sắng	ʂ ă ŋ 5
sằng	ʂ ă ŋ 2
sẵng	ʂ ă ŋ 3
sâng	ʂ ɤ̆ ŋ 1
sảng	ʂ a ŋ 4
sanh	ʂ ɛ ɲ 1
sánh	ʂ ɛ ɲ 5
sành	ʂ ɛ ɲ 2
sảnh	ʂ ɛ ɲ 4
sao	ʂ a w 1
sáo	ʂ a w 5
sào	ʂ a w 2
sảo	ʂ a w 4
sạo	ʂ a w 6
sáp	ʂ a p 5
sắp	ʂ ă p 5
sấp	ʂ ɤ̆ p 5
sập	ʂ ɤ̆ p 6
sạp	ʂ a p 6
sát	ʂ a t 5
sắt	ʂ ă t 5
sặt	ʂ ă t 6
sất	ʂ ɤ̆ t 5
sật	ʂ ɤ̆ t 6
sạt	ʂ a t 6
sau	ʂ ă w 1
sáu	ʂ ă w 5
sâu	ʂ ɤ̆ w 1
sấu	ʂ ɤ̆ w 5
sầu	ʂ ɤ̆ w 2
sậu	ʂ ɤ̆ w 6
say	ʂ ă j 1
sây	ʂ ɤ̆ j 1
sấy	ʂ ɤ̆ j 5
sầy	ʂ ɤ̆ j 2
sẩy	ʂ ɤ̆ j 4
sậy	ʂ ɤ̆ j 6
sảy	ʂ ă j 4
se	ʂ ɛ 1
sè	ʂ ɛ 2
sê	ʂ e 1
sế	ʂ e 5
sề	ʂ e 2
sễ	ʂ e 3
sể	ʂ e 4
sệ	ʂ e 6
sẽ	ʂ ɛ 3
sẻ	ʂ ɛ 4
sẹ	ʂ ɛ 6
séc	ʂ ɛ k 5
sếch	ʂ e tʃ 5
sệch	ʂ e tʃ 6
sem	ʂ ɛ m 1
sém	ʂ ɛ m 5
sẹm	ʂ ɛ m 6
sen	ʂ ɛ n 1
sên	ʂ e n 1
sến	ʂ e n 5
sền	ʂ e n 2
sển	ʂ e n 4
sẻn	ʂ ɛ n 4
seng	ʂ ɛ ŋ 1
sênh	ʂ e ɲ 1
sềnh	ʂ e ɲ 2
sểnh	ʂ e ɲ 4
seo	ʂ eo 1
séo	ʂ eo 5
sèo	ʂ eo 2
sẹo	ʂ eo 6
sép	ʂ ɛ p 5
sếp	ʂ e p 5
sẹp	ʂ ɛ p 6
sét	ʂ ɛ t 5
sệt	ʂ e t 6
sẹt	ʂ ɛ t 6
sêu	ʂ ɛu 1
sếu	ʂ ɛu 5
sều	ʂ ɛu 2
sệu	ʂ ɛu 6
si	ʂ i 1
sí	ʂ i 5
sì	ʂ i 2
sĩ	ʂ i 3
sỉ	ʂ i 4
sia	ʂ iə 1
sỉa	ʂ iə 4
sịa	ʂ iə 6
síc	ʂ i k 5
sích	ʂ i tʃ 5
sịch	ʂ i tʃ 6
siếc	ʂ iə k 5
siếm	ʂ iə m 5
siểm	ʂ iə m 4
siên	ʂ iə n 1
siễn	ʂ iə n 3
siển	ʂ iə n 4
siêng	ʂ iə ŋ 1
siểng	ʂ iə ŋ 4
siệng	ʂ iə ŋ 6
siết	ʂ iə t 5
siêu	ʂ iə w 1
sim	ʂ i m 1
sin	ʂ i n 1
sìn	ʂ i n 2
sỉn	ʂ i n 4
sinh	ʂ i ɲ 1
sính	ʂ i ɲ 5
sình	ʂ i ɲ 2
sỉnh	ʂ i ɲ 4
síp	ʂ i p 5
sịp	ʂ i p 6
sít	ʂ i t 5
sịt	ʂ i t 6
siu	ʂ i w 1
síu	ʂ i w 5
so	ʂ ɔ 1
sò	ʂ ɔ 2
sô	ʂ o 1
số	ʂ o 5
sồ	ʂ o 2
sỗ	ʂ o 3
sổ	ʂ o 4
sộ	ʂ o 6
sỏ	ʂ ɔ 4
sọ	ʂ ɔ 6
sơ	ʂ ɤ 1
sớ	ʂ ɤ 5
sờ	ʂ ɤ 2
sỡ	ʂ ɤ 3
sở	ʂ ɤ 4
sợ	ʂ ɤ 6
soa	ʂw ʷa 1
sòa	ʂw ʷa 2
soạch	ʂw ʷa tʃ 6
soái	ʂw a j 5
soài	ʂw a j 2
soải	ʂw a j 4
soàm	ʂw ʷa m 2
soán	ʂw ʷa n 5
soàn	ʂw ʷa n 2
soắn	ʂw ʷă n 5
soạn	ʂw ʷa n 6
soảng	ʂw ʷa ŋ 4
soạng	ʂw ʷa ŋ 6
soạp	ʂw ʷa p 6
soát	ʂw ʷa t 5
soạt	ʂw ʷa t 6
soay	ʂw ă j 1
sóc	ʂ ɔ k͡p 5
sốc	ʂ o k͡p 5
sộc	ʂ o k͡p 6
sọc	ʂ ɔ k͡p 6
soẹt	ʂw ʷɛ t 6
soi	ʂ ɔ j 1
sói	ʂ ɔ j 5
sòi	ʂ ɔ j 2
sôi	ʂ o j 1
sồi	ʂ o j 2
sổi	ʂ o j 4
sõi	ʂ ɔ j 3
sỏi	ʂ ɔ j 4
sơi	ʂ ɤ j 1
sới	ʂ ɤ j 5
sởi	ʂ ɤ j 4
sợi	ʂ ɤ j 6
som	ʂ ɔ m 1
sóm	ʂ ɔ m 5
sòm	ʂ ɔ m 2
sốm	ʂ o m 5
sổm	ʂ o m 4
sỏm	ʂ ɔ m 4
sọm	ʂ ɔ m 6
sơm	ʂ ɤ m 1
sớm	ʂ ɤ m 5
sờm	ʂ ɤ m 2
sởm	ʂ ɤ m 4
son	ʂ ɔ n 1
són	ʂ ɔ n 5
sòn	ʂ ɔ n 2
sôn	ʂ o n 1
sồn	ʂ o n 2
sơn	ʂ ɤ n 1
sớn	ʂ ɤ n 5
sờn	ʂ ɤ n 2
sởn	ʂ ɤ n 4
song	ʂ ɔ ŋ͡m 1
sóng	ʂ ɔ ŋ͡m 5
sòng	ʂ ɔ ŋ͡m 2
sông	ʂ o ŋ͡m 1
sống	ʂ o ŋ͡m 5
sồng	ʂ o ŋ͡m 2
sổng	ʂ o ŋ͡m 4
sõng	ʂ ɔ ŋ͡m 3
sóp	ʂ ɔ p 5
sốp	ʂ o p 5
sộp	ʂ o p 6
sót	ʂ ɔ t 5
sốt	ʂ o t 5
sột	ʂ o t 6
sọt	ʂ ɔ t 6
sớt	ʂ ɤ t 5
sợt	ʂ ɤ t 6
su	ʂ u 1
sú	ʂ u 5
sù	ʂ u 2
sủ	ʂ u 4
sụ	ʂ u 6
sư	ʂ ɯ 1
sứ	ʂ ɯ 5
sừ	ʂ ɯ 2
sử	ʂ ɯ 4
sự	ʂ ɯ 6
súa	ʂ uə 5
sủa	ʂ uə 4
sụa	ʂ uə 6
sưa	ʂ ɯə 1
sứa	ʂ ɯə 5
sừa	ʂ ɯə 2
sữa	ʂ ɯə 3
sửa	ʂ ɯə 4
suất	ʂw ʷɤ̆ t 5
súc	ʂ u k͡p 5
sục	ʂ u k͡p 6
sức	ʂ ɯ k 5
sực	ʂ ɯ k 6
suê	ʂw ʷe 1
suề	ʂw ʷe 2
sui	ʂ u j 1
sùi	ʂ u j 2
sủi	ʂ u j 4
sum	ʂ u m 1
sùm	ʂ u m 2
sụm	ʂ u m 6
sun	ʂ u n 1
sún	ʂ u n 5
sụn	ʂ u n 6
sừn	ʂ ɯ n 2
sung	ʂ u ŋ͡m 1
súng	ʂ u ŋ͡m 5
sùng	ʂ u ŋ͡m 2
sũng	ʂ u ŋ͡m 3
sủng	ʂ u ŋ͡m 4
sưng	ʂ ɯ ŋ 1
sừng	ʂ ɯ ŋ 2
sững	ʂ ɯ ŋ 3
sửng	ʂ ɯ ŋ 4
sựng	ʂ ɯ ŋ 6
suối	ʂ uə j 5
sươi	ʂ ɯə j 1
sưởi	ʂ ɯə j 4
suôn	ʂ uə n 1
sườn	ʂ ɯə n 2
suông	ʂ uə ŋ 1
suồng	ʂ uə ŋ 2
sương	ʂ ɯə ŋ 1
sướng	ʂ ɯə ŋ 5
sường	ʂ ɯə ŋ 2
sượng	ʂ ɯə ŋ 6
suốt	ʂ uə t 5
sướt	ʂ ɯə t 5
sượt	ʂ ɯə t 6
súp	ʂ u p 5
sụp	ʂ u p 6
sút	ʂ u t 5
sụt	ʂ u t 6
sứt	ʂ ɯ t 5
sựt	ʂ ɯ t 6
sưu	ʂ ɯ w 1
sữu	ʂ ɯ w 3
sửu	ʂ ɯ w 4
suy	ʂw ʷi 1
súy	ʂ u j 5
suyễn	ʂw ʷiə n 3
suyển	ʂw ʷiə n 4
suýt	ʂw ʷi t 5
suỵt	ʂw ʷi t 6
sy	ʂ i 1
sỹ	ʂ i 3
ta	t a 1
tá	t a 5
tà	t a 2
tã	t a 3
tả	t a 4
tạ	t a 6
tác	t a k 5
tắc	t ă k 5
tặc	t ă k 6
tấc	t ɤ̆ k 5
tạc	t a k 6
tách	t a tʃ 5
tạch	t a tʃ 6
tai	t a j 1
tái	t a j 5
tài	t a j 2
tãi	t a j 3
tải	t a j 4
tại	t a j 6
tam	t a m 1
tám	t a m 5
tàm	t a m 2
tăm	t ă m 1
tắm	t ă m 5
tằm	t ă m 2
tâm	t ɤ̆ m 1
tấm	t ɤ̆ m 5
tầm	t ɤ̆ m 2
tẩm	t ɤ̆ m 4
tậm	t ɤ̆ m 6
tạm	t a m 6
tan	t a n 1
tán	t a n 5
tàn	t a n 2
tăn	t ă n 1
tắn	t ă n 5
tằn	t ă n 2
tẳn	t ă n 4
tặn	t ă n 6
tân	t ɤ̆ n 1
tấn	t ɤ̆ n 5
tần	t ɤ̆ n 2
tẩn	t ɤ̆ n 4
tận	t ɤ̆ n 6
tản	t a n 4
tang	t a ŋ 1
táng	t a ŋ 5
tàng	t a ŋ 2
tăng	t ă ŋ 1
tằng	t ă ŋ 2
tặng	t ă ŋ 6
tâng	t ɤ̆ ŋ 1
tầng	t ɤ̆ ŋ 2
tảng	t a ŋ 4
tạng	t a ŋ 6
tanh	t ɛ ɲ 1
tánh	t ɛ ɲ 5
tành	t ɛ ɲ 2
tạnh	t ɛ ɲ 6
tao	t a w 1
táo	t a w 5
tào	t a w 2
tảo	t a w 4
tạo	t a w 6
táp	t a p 5
tắp	t ă p 5
tấp	t ɤ̆ p 5
tập	t ɤ̆ p 6
tạp	t a p 6
tát	t a t 5
tắt	t ă t 5
tất	t ɤ̆ t 5
tật	t ɤ̆ t 6
tạt	t a t 6
tau	t ă w 1
táu	t ă w 5
tàu	t ă w 2
tâu	t ɤ̆ w 1
tấu	t ɤ̆ w 5
tầu	t ɤ̆ w 2
tẩu	t ɤ̆ w 4
tậu	t ɤ̆ w 6
tay	t ă j 1
táy	t ă j 5
tày	t ă j 2
tây	t ɤ̆ j 1
tấy	t ɤ̆ j 5
tầy	t ɤ̆ j 2
tẩy	t ɤ̆ j 4
te	t ɛ 1
té	t ɛ 5
tè	t ɛ 2
tê	t e 1
tế	t e 5
tề	t e 2
tễ	t e 3
tể	t e 4
tệ	t e 6
tẽ	t ɛ 3
tẻ	t ɛ 4
téc	t ɛ k 5
tếch	t e tʃ 5
tem	t ɛ m 1
tém	t ɛ m 5
tèm	t ɛ m 2
têm	t e m 1
tẻm	t ɛ m 4
ten	t ɛ n 1
tén	t ɛ n 5
tèn	t ɛ n 2
tên	t e n 1
tẽn	t ɛ n 3
teng	t ɛ ŋ 1
tèng	t ɛ ŋ 2
tênh	t e ɲ 1
tềnh	t e ɲ 2
tễnh	t e ɲ 3
tểnh	t e ɲ 4
teo	t eo 1
téo	t eo 5
tèo	t eo 2
tẻo	t eo 4
tẹo	t eo 6
tép	t ɛ p 5
tệp	t e p 6
tẹp	t ɛ p 6
tét	t ɛ t 5
tết	t e t 5
tẹt	t ɛ t 6
têu	t ɛu 1
tếu	t ɛu 5
tễu	t ɛu 3
tha	tʰ a 1
thá	tʰ a 5
thà	tʰ a 2
thả	tʰ a 4
thác	tʰ a k 5
thắc	tʰ ă k 5
thạc	tʰ a k 6
thách	tʰ a tʃ 5
thạch	tʰ a tʃ 6
thai	tʰ a j 1
thái	tʰ a j 5
thài	tʰ a j 2
thãi	tʰ a j 3
thải	tʰ a j 4
tham	tʰ a m 1
thám	tʰ a m 5
thàm	tʰ a m 2
thăm	tʰ ă m 1
thắm	tʰ ă m 5
thẳm	tʰ ă m 4
thâm	tʰ ɤ̆ m 1
thấm	tʰ ɤ̆ m 5
thầm	tʰ ɤ̆ m 2
thẫm	tʰ ɤ̆ m 3
thẩm	tʰ ɤ̆ m 4
thậm	tʰ ɤ̆ m 6
thảm	tʰ a m 4
than	tʰ a n 1
thán	tʰ a n 5
thăn	tʰ ă n 1
thắn	tʰ ă n 5
thằn	tʰ ă n 2
thân	tʰ ɤ̆ n 1
thần	tʰ ɤ̆ n 2
thẫn	tʰ ɤ̆ n 3
thẩn	tʰ ɤ̆ n 4
thận	tʰ ɤ̆ n 6
thản	tʰ a n 4
thang	tʰ a ŋ 1
tháng	tʰ a ŋ 5
thàng	tʰ a ŋ 2
thăng	tʰ ă ŋ 1
thắng	tʰ ă ŋ 5
thằng	tʰ ă ŋ 2
thẳng	tʰ ă ŋ 4
thặng	tʰ ă ŋ 6
thảng	tʰ a ŋ 4
thanh	tʰ ɛ ɲ 1
thánh	tʰ ɛ ɲ 5
thành	tʰ ɛ ɲ 2
thảnh	tʰ ɛ ɲ 4
thạnh	tʰ ɛ ɲ 6
thao	tʰ a w 1
tháo	tʰ a w 5
thào	tʰ a w 2
thảo	tʰ a w 4
thạo	tʰ a w 6
tháp	tʰ a p 5
thắp	tʰ ă p 5
thấp	tʰ ɤ̆ p 5
thập	tʰ ɤ̆ p 6
thát	tʰ a t 5
thắt	tʰ ă t 5
thất	tʰ ɤ̆ t 5
thật	tʰ ɤ̆ t 6
thạt	tʰ a t 6
thau	tʰ ă w 1
tháu	tʰ ă w 5
thâu	tʰ ɤ̆ w 1
thấu	tʰ ɤ̆ w 5
thầu	tʰ ɤ̆ w 2
thẩu	tʰ ɤ̆ w 4
thay	tʰ ă j 1
tháy	tʰ ă j 5
thây	tʰ ɤ̆ j 1
thấy	tʰ ɤ̆ j 5
thầy	tʰ ɤ̆ j 2
thẩy	tʰ ɤ̆ j 4
thảy	tʰ ă j 4
the	tʰ ɛ 1
thé	tʰ ɛ 5
thè	tʰ ɛ 2
thê	tʰ e 1
thế	tʰ e 5
thề	tʰ e 2
thể	tʰ e 4
thệ	tʰ e 6
thẽ	tʰ ɛ 3
thẻ	tʰ ɛ 4
thếch	tʰ e tʃ 5
thèm	tʰ ɛ m 2
thêm	tʰ e m 1
thềm	tʰ e m 2
then	tʰ ɛ n 1
thèn	tʰ ɛ n 2
thện	tʰ e n 6
thẻn	tʰ ɛ n 4
thẹn	tʰ ɛ n 6
thênh	tʰ e ɲ 1
thếnh	tʰ e ɲ 5
theo	tʰ eo 1
thèo	tʰ eo 2
thẻo	tʰ eo 4
thẹo	tʰ eo 6
thép	tʰ ɛ p 5
thếp	tʰ e p 5
thẹp	tʰ ɛ p 6
thét	tʰ ɛ t 5
thết	tʰ e t 5
thêu	tʰ ɛu 1
thều	tʰ ɛu 2
thểu	tʰ ɛu 4
thi	tʰ i 1
thí	tʰ i 5
thì	tʰ i 2
thĩ	tʰ i 3
thỉ	tʰ i 4
thị	tʰ i 6
thia	tʰ iə 1
thía	tʰ iə 5
thìa	tʰ iə 2
thích	tʰ i tʃ 5
thịch	tʰ i tʃ 6
thiếc	tʰ iə k 5
thiệc	tʰ iə k 6
thiêm	tʰ iə m 1
thiềm	tʰ iə m 2
thiểm	tʰ iə m 4
thiên	tʰ iə n 1
thiến	tʰ iə n 5
thiền	tʰ iə n 2
thiển	tʰ iə n 4
thiện	tʰ iə n 6
thiêng	tʰ iə ŋ 1
thiềng	tʰ iə ŋ 2
thiếp	tʰ iə p 5
thiệp	tʰ iə p 6
thiết	tʰ iə t 5
thiệt	tʰ iə t 6
thiêu	tʰ iə w 1
thiếu	tʰ iə w 5
thiều	tʰ iə w 2
thiểu	tʰ iə w 4
thiệu	tʰ iə w 6
thím	tʰ i m 5
thin	tʰ i n 1
thín	tʰ i n 5
thìn	tʰ i n 2
thinh	tʰ i ɲ 1
thính	tʰ i ɲ 5
thình	tʰ i ɲ 2
thỉnh	tʰ i ɲ 4
thịnh	tʰ i ɲ 6
thíp	tʰ i p 5
thít	tʰ i t 5
thịt	tʰ i t 6
thiu	tʰ i w 1
thìu	tʰ i w 2
thỉu	tʰ i w 4
thịu	tʰ i w 6
tho	tʰ ɔ 1
thó	tʰ ɔ 5
thò	tʰ ɔ 2
thô	tʰ o 1
thố	tʰ o 5
thồ	tʰ o 2
thỗ	tʰ o 3
thổ	tʰ o 4
thỏ	tʰ ɔ 4
thọ	tʰ ɔ 6
thơ	tʰ ɤ 1
thớ	tʰ ɤ 5
thờ	tʰ ɤ 2
thở	tʰ ɤ 4
thợ	tʰ ɤ 6
thoa	tʰw ʷa 1
thóa	tʰw ʷa 5
thòa	tʰw ʷa 2
thõa	tʰw ʷa 3
thỏa	tʰw ʷa 4
thoai	tʰw a j 1
thoái	tʰw a j 5
thoải	tʰw a j 4
thoại	tʰw a j 6
thoán	tʰw ʷa n 5
thoàn	tʰw ʷa n 2
thoăn	tʰw ʷă n 1
thoang	tʰw ʷa ŋ 1
thoáng	tʰw ʷa ŋ 5
thoắng	tʰw ʷă ŋ 5
thoảng	tʰw ʷa ŋ 4
thoát	tʰw ʷa t 5
thoắt	tʰw ʷă t 5
thoạt	tʰw ʷa t 6
thóc	tʰ ɔ k͡p 5
thốc	tʰ o k͡p 5
thộc	tʰ o k͡p 6
thọc	tʰ ɔ k͡p 6
thoi	tʰ ɔ j 1
thói	tʰ ɔ j 5
thòi	tʰ ɔ j 2
thôi	tʰ o j 1
thối	tʰ o j 5
thồi	tʰ o j 2
thổi	tʰ o j 4
thỏi	tʰ ɔ j 4
thơi	tʰ ɤ j 1
thới	tʰ ɤ j 5
thời	tʰ ɤ j 2
thởi	tʰ ɤ j 4
thom	tʰ ɔ m 1
thóm	tʰ ɔ m 5
thòm	tʰ ɔ m 2
thồm	tʰ o m 2
thỏm	tʰ ɔ m 4
thơm	tʰ ɤ m 1
thớm	tʰ ɤ m 5
thờm	tʰ ɤ m 2
thon	tʰ ɔ n 1
thòn	tʰ ɔ n 2
thôn	tʰ o n 1
thốn	tʰ o n 5
thồn	tʰ o n 2
thỗn	tʰ o n 3
thổn	tʰ o n 4
thộn	tʰ o n 6
thơn	tʰ ɤ n 1
thờn	tʰ ɤ n 2
thong	tʰ ɔ ŋ͡m 1
thòng	tʰ ɔ ŋ͡m 2
thông	tʰ o ŋ͡m 1
thống	tʰ o ŋ͡m 5
thổng	tʰ o ŋ͡m 4
thõng	tʰ ɔ ŋ͡m 3
thỏng	tʰ ɔ ŋ͡m 4
thóp	tʰ ɔ p 5
thộp	tʰ o p 6
thót	tʰ ɔ t 5
thốt	tʰ o t 5
thột	tʰ o t 6
thọt	tʰ ɔ t 6
thớt	tʰ ɤ t 5
thợt	tʰ ɤ t 6
thu	tʰ u 1
thú	tʰ u 5
thù	tʰ u 2
thủ	tʰ u 4
thụ	tʰ u 6
thư	tʰ ɯ 1
thứ	tʰ ɯ 5
thừ	tʰ ɯ 2
thử	tʰ ɯ 4
thự	tʰ ɯ 6
thua	tʰ uə 1
thùa	tʰ uə 2
thủa	tʰ uə 4
thưa	tʰ ɯə 1
thừa	tʰ ɯə 2
thửa	tʰ ɯə 4
thuấn	tʰw ʷɤ̆ n 5
thuần	tʰw ʷɤ̆ n 2
thuẫn	tʰw ʷɤ̆ n 3
thuẩn	tʰw ʷɤ̆ n 4
thuận	tʰw ʷɤ̆ n 6
thuất	tʰw ʷɤ̆ t 5
thuật	tʰw ʷɤ̆ t 6
thúc	tʰ u k͡p 5
thục	tʰ u k͡p 6
thức	tʰ ɯ k 5
thực	tʰ ɯ k 6
thuê	tʰw ʷe 1
thuế	tʰw ʷe 5
thuể	tʰw ʷe 4
thui	tʰ u j 1
thúi	tʰ u j 5
thùi	tʰ u j 2
thủi	tʰ u j 4
thụi	tʰ u j 6
thum	tʰ u m 1
